entities,labels
apple,food
apple pie,food
asafoetida,food
banana,food
black mustard seed,food
blazzer,cloth
blueberries,food
breads,food
broccoli,food
burger,food
butter beans,food
cabbage,food
cardamom,food
carrot,food
cinnamon,food
cloves,food
coconut,food
corn,food
cuisine,food
cumin,food
dals,food
dosa,food
egg,food
egg plant,food
flour,food
french fries,food
garlic,food
ginger,food
grape,food
green beans,food
ice-cream,food
indian curry,food
jeans,cloth
kale,food
mango,food
nutmeg,food
okra,food
onion,food
orange,food
pants,cloth
papaya,food
paprika,food
pasta,food
pickles,food
pineapple,food
pizza,food
potato,food
pumpkin,food
rice,food
rutabaga,food
salwar suit,cloth
sambhar,food
saree,cloth
shirt,cloth
spices,food
spinach,food
strawberries,food
suit,cloth
sweet potato,food
tomato,food
tshirts,cloth
turmeric,food
watermelon,food
wheat,food
