,year,month,interest_rate,unemployment_rate,index_price
0,2017,12,2.75,5.3,1464
1,2017,11,2.5,5.3,1394
2,2017,10,2.5,5.3,1357
3,2017,9,2.5,5.3,1293
4,2017,8,2.5,5.4,1256
5,2017,7,2.5,5.6,1254
6,2017,6,2.5,5.5,1234
7,2017,5,2.25,5.5,1195
8,2017,4,2.25,5.5,1159
9,2017,3,2.25,5.6,1167
10,2017,2,2.0,5.7,1130
11,2017,1,2.0,5.9,1075
12,2016,12,2.0,6.0,1047
13,2016,11,1.75,5.9,965
14,2016,10,1.75,5.8,943
15,2016,9,1.75,6.1,958
16,2016,8,1.75,6.2,971
17,2016,7,1.75,6.1,949
18,2016,6,1.75,6.1,884
19,2016,5,1.75,6.1,866
20,2016,4,1.75,5.9,876
21,2016,3,1.75,6.2,822
22,2016,2,1.75,6.2,704
23,2016,1,1.75,6.1,719
